size,schedule,chunk,threads,time
10000,0,1,1,0.000123
10000,0,1,2,0.000254
10000,0,1,4,0.000338
10000,0,1,8,0.004117
10000,0,1,16,0.005243
10000,0,1,32,0.003477
10000,0,1,64,0.007782
10000,0,64,1,0.000125
10000,0,64,2,0.000155
10000,0,64,4,0.001610
10000,0,64,8,0.001286
10000,0,64,16,0.003561
10000,0,64,32,0.004021
10000,0,64,64,0.007057
10000,0,1024,1,0.000125
10000,0,1024,2,0.000162
10000,0,1024,4,0.000272
10000,0,1024,8,0.002453
10000,0,1024,16,0.002895
10000,0,1024,32,0.003026
10000,0,1024,64,0.007120
10000,0,2048,1,0.000125
10000,0,2048,2,0.000156
10000,0,2048,4,0.001002
10000,0,2048,8,0.000971
10000,0,2048,16,0.003598
10000,0,2048,32,0.002980
10000,0,2048,64,0.006831
10000,0,4096,1,0.000125
10000,0,4096,2,0.000184
10000,0,4096,4,0.000295
10000,0,4096,8,0.002344
10000,0,4096,16,0.003841
10000,0,4096,32,0.002903
10000,0,4096,64,0.007025
10000,1,1,1,0.000165
10000,1,1,2,0.000490
10000,1,1,4,0.000481
10000,1,1,8,0.002036
10000,1,1,16,0.005098
10000,1,1,32,0.002985
10000,1,1,64,0.004942
10000,1,64,1,0.000125
10000,1,64,2,0.000171
10000,1,64,4,0.000257
10000,1,64,8,0.001853
10000,1,64,16,0.003159
10000,1,64,32,0.003086
10000,1,64,64,0.006306
10000,1,1024,1,0.000124
10000,1,1024,2,0.000146
10000,1,1024,4,0.000257
10000,1,1024,8,0.002996
10000,1,1024,16,0.029774
10000,1,1024,32,0.003377
10000,1,1024,64,0.007964
10000,1,2048,1,0.000124
10000,1,2048,2,0.000164
10000,1,2048,4,0.000539
10000,1,2048,8,0.001488
10000,1,2048,16,0.010821
10000,1,2048,32,0.002901
10000,1,2048,64,0.006904
10000,1,4096,1,0.000124
10000,1,4096,2,0.000160
10000,1,4096,4,0.000296
10000,1,4096,8,0.001192
10000,1,4096,16,0.002489
10000,1,4096,32,0.003315
10000,1,4096,64,0.007490
10000,2,1,1,0.000126
10000,2,1,2,0.000160
10000,2,1,4,0.000265
10000,2,1,8,0.001559
10000,2,1,16,0.004172
10000,2,1,32,0.003877
10000,2,1,64,0.008103
10000,2,64,1,0.000124
10000,2,64,2,0.000149
10000,2,64,4,0.000435
10000,2,64,8,0.002777
10000,2,64,16,0.006749
10000,2,64,32,0.003901
10000,2,64,64,0.006078
10000,2,1024,1,0.000123
10000,2,1024,2,0.000163
10000,2,1024,4,0.000244
10000,2,1024,8,0.001403
10000,2,1024,16,0.004745
10000,2,1024,32,0.003093
10000,2,1024,64,0.006156
10000,2,2048,1,0.000125
10000,2,2048,2,0.000147
10000,2,2048,4,0.000236
10000,2,2048,8,0.001228
10000,2,2048,16,0.009514
10000,2,2048,32,0.002881
10000,2,2048,64,0.008144
10000,2,4096,1,0.000125
10000,2,4096,2,0.000184
10000,2,4096,4,0.000271
10000,2,4096,8,0.003289
10000,2,4096,16,0.009976
10000,2,4096,32,0.003381
10000,2,4096,64,0.006112
10000000,0,1,1,0.125311
10000000,0,1,2,0.107903
10000000,0,1,4,0.068772
10000000,0,1,8,0.040313
10000000,0,1,16,0.044936
10000000,0,1,32,0.051393
10000000,0,1,64,0.043554
10000000,0,64,1,0.116495
10000000,0,64,2,0.064898
10000000,0,64,4,0.037636
10000000,0,64,8,0.065536
10000000,0,64,16,0.037952
10000000,0,64,32,0.028015
10000000,0,64,64,0.029858
10000000,0,1024,1,0.133219
10000000,0,1024,2,0.066798
10000000,0,1024,4,0.041237
10000000,0,1024,8,0.040640
10000000,0,1024,16,0.042794
10000000,0,1024,32,0.023691
10000000,0,1024,64,0.030419
10000000,0,2048,1,0.117410
10000000,0,2048,2,0.061326
10000000,0,2048,4,0.041061
10000000,0,2048,8,0.024480
10000000,0,2048,16,0.037354
10000000,0,2048,32,0.027472
10000000,0,2048,64,0.033486
10000000,0,4096,1,0.128411
10000000,0,4096,2,0.063067
10000000,0,4096,4,0.037370
10000000,0,4096,8,0.032427
10000000,0,4096,16,0.042025
10000000,0,4096,32,0.026197
10000000,0,4096,64,0.026881
10000000,1,1,1,0.160036
10000000,1,1,2,0.191761
10000000,1,1,4,0.286989
10000000,1,1,8,0.257926
10000000,1,1,16,0.272436
10000000,1,1,32,0.273953
10000000,1,1,64,0.263534
10000000,1,64,1,0.117447
10000000,1,64,2,0.075648
10000000,1,64,4,0.043664
10000000,1,64,8,0.053747
10000000,1,64,16,0.051968
10000000,1,64,32,0.034792
10000000,1,64,64,0.037308
10000000,1,1024,1,0.116116
10000000,1,1024,2,0.062318
10000000,1,1024,4,0.036272
10000000,1,1024,8,0.029348
10000000,1,1024,16,0.044695
10000000,1,1024,32,0.039551
10000000,1,1024,64,0.045798
10000000,1,2048,1,0.116373
10000000,1,2048,2,0.061059
10000000,1,2048,4,0.056532
10000000,1,2048,8,0.030700
10000000,1,2048,16,0.041111
10000000,1,2048,32,0.034082
10000000,1,2048,64,0.037365
10000000,1,4096,1,0.117051
10000000,1,4096,2,0.060592
10000000,1,4096,4,0.040594
10000000,1,4096,8,0.030716
10000000,1,4096,16,0.032915
10000000,1,4096,32,0.034788
10000000,1,4096,64,0.035735
10000000,2,1,1,0.116003
10000000,2,1,2,0.089211
10000000,2,1,4,0.033759
10000000,2,1,8,0.038674
10000000,2,1,16,0.032490
10000000,2,1,32,0.020803
10000000,2,1,64,0.023952
10000000,2,64,1,0.115352
10000000,2,64,2,0.058610
10000000,2,64,4,0.049482
10000000,2,64,8,0.024392
10000000,2,64,16,0.026990
10000000,2,64,32,0.024612
10000000,2,64,64,0.022811
10000000,2,1024,1,0.116169
10000000,2,1024,2,0.069199
10000000,2,1024,4,0.038145
10000000,2,1024,8,0.029843
10000000,2,1024,16,0.024789
10000000,2,1024,32,0.019503
10000000,2,1024,64,0.023345
10000000,2,2048,1,0.115502
10000000,2,2048,2,0.071850
10000000,2,2048,4,0.033327
10000000,2,2048,8,0.044285
10000000,2,2048,16,0.040205
10000000,2,2048,32,0.024197
10000000,2,2048,64,0.025083
10000000,2,4096,1,0.115712
10000000,2,4096,2,0.060310
10000000,2,4096,4,0.044434
10000000,2,4096,8,0.021346
10000000,2,4096,16,0.035626
10000000,2,4096,32,0.019691
10000000,2,4096,64,0.022144
1000000000,0,1,1,12.097637
1000000000,0,1,2,10.346055
1000000000,0,1,4,5.675342
1000000000,0,1,8,3.302704
1000000000,0,1,16,2.976705
1000000000,0,1,32,4.463205
1000000000,0,1,64,4.326320
1000000000,0,64,1,13.017995
1000000000,0,64,2,6.874671
1000000000,0,64,4,3.822776
1000000000,0,64,8,2.067349
1000000000,0,64,16,2.015615
1000000000,0,64,32,1.467811
1000000000,0,64,64,1.567729
1000000000,0,1024,1,13.118834
1000000000,0,1024,2,6.935003
1000000000,0,1024,4,3.577104
1000000000,0,1024,8,2.110320
1000000000,0,1024,16,1.801889
1000000000,0,1024,32,1.324566
1000000000,0,1024,64,1.313981
1000000000,0,2048,1,12.915474
1000000000,0,2048,2,6.808109
1000000000,0,2048,4,3.606028
1000000000,0,2048,8,2.056196
1000000000,0,2048,16,1.876031
1000000000,0,2048,32,1.401485
1000000000,0,2048,64,1.513416
1000000000,0,4096,1,13.302814
1000000000,0,4096,2,6.827867
1000000000,0,4096,4,3.547842
1000000000,0,4096,8,2.240601
1000000000,0,4096,16,1.902012
1000000000,0,4096,32,1.528898
1000000000,0,4096,64,1.462758
1000000000,1,1,1,17.765637
1000000000,1,1,2,33.181171
1000000000,1,1,4,28.553677
1000000000,1,1,8,27.281734
1000000000,1,1,16,27.137831
1000000000,1,1,32,27.277900
1000000000,1,1,64,27.801019
1000000000,1,64,1,12.984594
1000000000,1,64,2,7.582613
1000000000,1,64,4,4.547813
1000000000,1,64,8,3.089470
1000000000,1,64,16,3.809828
1000000000,1,64,32,4.019003
1000000000,1,64,64,4.512071
1000000000,1,1024,1,13.100432
1000000000,1,1024,2,7.144886
1000000000,1,1024,4,3.880887
1000000000,1,1024,8,2.641331
1000000000,1,1024,16,3.456268
1000000000,1,1024,32,3.681314
1000000000,1,1024,64,4.044206
1000000000,1,2048,1,13.377347
1000000000,1,2048,2,6.977307
1000000000,1,2048,4,3.807132
1000000000,1,2048,8,2.728026
1000000000,1,2048,16,3.372144
1000000000,1,2048,32,3.703431
1000000000,1,2048,64,4.058592
1000000000,1,4096,1,13.194489
1000000000,1,4096,2,6.799881
1000000000,1,4096,4,3.732004
1000000000,1,4096,8,2.565099
1000000000,1,4096,16,3.447662
1000000000,1,4096,32,3.675987
1000000000,1,4096,64,3.932262
1000000000,2,1,1,13.473619
1000000000,2,1,2,6.613710
1000000000,2,1,4,3.391788
1000000000,2,1,8,1.796938
1000000000,2,1,16,1.264218
1000000000,2,1,32,1.227188
1000000000,2,1,64,1.254534
1000000000,2,64,1,13.359911
1000000000,2,64,2,6.782473
1000000000,2,64,4,3.421134
1000000000,2,64,8,1.766842
1000000000,2,64,16,1.358071
1000000000,2,64,32,1.213697
1000000000,2,64,64,1.199366
1000000000,2,1024,1,13.386344
1000000000,2,1024,2,6.803698
1000000000,2,1024,4,3.351333
1000000000,2,1024,8,1.787969
1000000000,2,1024,16,1.114262
1000000000,2,1024,32,1.293396
1000000000,2,1024,64,1.244989
1000000000,2,2048,1,13.154272
1000000000,2,2048,2,6.859066
1000000000,2,2048,4,3.456540
1000000000,2,2048,8,1.778971
1000000000,2,2048,16,1.092803
1000000000,2,2048,32,1.138429
1000000000,2,2048,64,1.231132
1000000000,2,4096,1,13.102389
1000000000,2,4096,2,6.916888
1000000000,2,4096,4,3.429961
1000000000,2,4096,8,1.813756
1000000000,2,4096,16,1.151699
1000000000,2,4096,32,1.204897
1000000000,2,4096,64,1.180954
