size,bucket,threads,fill,distrib,sort,rewrite,all
5000000,5000000,1,0.108913,9.672058,1.132470,0.301556,11.214998
5000000,5000000,2,0.037708,6.768591,0.608839,0.210121,7.625261
5000000,5000000,3,0.034845,5.649717,0.513759,0.247858,6.446181
5000000,5000000,4,0.038260,3.213565,0.346789,0.171436,3.770052
5000000,5000000,5,0.031599,3.072004,0.299113,0.137122,3.539840
5000000,5000000,6,0.024603,3.101525,0.297235,0.145018,3.568382
5000000,5000000,7,0.021563,4.123295,0.350256,0.218882,4.713998
5000000,5000000,8,0.049783,4.111813,0.278126,0.182363,4.622088
5000000,1,1,0.091431,0.685558,6.426933,0.082942,7.286865
5000000,2,2,0.063421,0.560716,3.435331,0.052014,4.111484
5000000,3,3,0.049175,0.446925,2.245449,0.049869,2.791420
5000000,4,4,0.040761,0.349470,1.819365,0.019751,2.229350
5000000,5,5,0.032967,0.310246,1.473431,0.022322,1.838968
5000000,6,6,0.049448,0.310748,1.466902,0.032189,1.859288
5000000,7,7,0.034355,0.265565,1.325532,0.026195,1.651648
5000000,8,8,0.027270,0.248486,1.158584,0.025730,1.460072
5000000,2236,1,0.170152,1.060571,3.117840,0.093899,4.442464
5000000,2236,2,0.062925,0.576716,1.699439,0.035609,2.374689
5000000,2236,3,0.035386,0.438641,1.428621,0.030354,1.933004
5000000,2236,4,0.086496,0.388074,1.131572,0.017037,1.623181
5000000,2236,5,0.043367,0.303266,0.841848,0.021784,1.210266
5000000,2236,6,0.053983,0.458172,0.822505,0.017981,1.352643
5000000,2236,7,0.036736,0.402663,0.804843,0.019991,1.264234
5000000,2236,8,0.032563,0.779818,0.761494,0.022661,1.596539
10000000,10000000,1,0.245281,23.416194,2.470810,0.652799,26.785086
10000000,10000000,2,0.163913,12.967161,1.118283,0.378568,14.627928
10000000,10000000,3,0.063817,9.969534,1.055918,0.458582,11.547853
10000000,10000000,4,0.094425,6.870450,0.911184,0.279585,8.155646
10000000,10000000,5,0.060590,7.706568,0.736682,0.342217,8.846059
10000000,10000000,6,0.055695,7.762279,0.714553,0.255367,8.787895
10000000,10000000,7,0.051050,7.817831,0.537837,0.302540,8.709260
10000000,10000000,8,0.060548,8.497287,0.481662,0.294947,9.334446
10000000,1,1,0.146544,1.222280,10.912073,0.085887,12.366785
10000000,2,2,0.102145,0.959578,5.676194,0.031498,6.769416
10000000,3,3,0.048855,0.759605,3.874208,0.044819,4.727488
10000000,4,4,0.076641,0.518599,2.968462,0.058291,3.621995
10000000,5,5,0.077839,0.514059,3.030709,0.029966,3.652575
10000000,6,6,0.079357,0.470172,2.492582,0.029281,3.071393
10000000,7,7,0.048794,0.424561,2.167745,0.023368,2.664469
10000000,8,8,0.047117,0.418919,2.260071,0.025435,2.751544
10000000,3162,1,0.137154,1.587650,5.339237,0.154126,7.218169
10000000,3162,2,0.115721,1.026187,2.912256,0.089232,4.143397
10000000,3162,3,0.091187,0.767949,2.279059,0.057827,3.196024
10000000,3162,4,0.060657,0.581152,1.758427,0.024958,2.425195
10000000,3162,5,0.058507,0.631299,1.638839,0.053054,2.381701
10000000,3162,6,0.052436,0.631315,1.311101,0.037779,2.032632
10000000,3162,7,0.036992,0.625384,1.285143,0.020330,1.967851
10000000,3162,8,0.043405,0.856042,1.197328,0.025331,2.122106
15000000,15000000,1,0.239687,27.693951,2.946561,0.734457,31.614658
15000000,15000000,2,0.079334,16.025548,1.591153,0.550837,18.246873
15000000,15000000,3,0.123376,11.776602,1.147413,0.469170,13.516563
15000000,15000000,4,0.095819,10.753062,1.054353,0.388133,12.291367
15000000,15000000,5,0.140020,9.698050,0.996078,0.429271,11.263421
15000000,15000000,6,0.064198,9.797875,0.780868,0.391765,11.034709
15000000,15000000,7,0.055134,9.239536,0.812742,0.337550,10.444964
15000000,15000000,8,0.100235,10.609677,0.701077,0.352205,11.763196
15000000,1,1,0.353434,1.624227,15.983907,0.175924,18.137494
15000000,2,2,0.136169,1.051849,5.130603,0.048141,6.366763
15000000,3,3,0.058490,0.754764,3.516968,0.033780,4.364004
15000000,4,4,0.052948,0.559372,2.652715,0.032855,3.297892
15000000,5,5,0.044493,0.506735,2.176769,0.032433,2.760432
15000000,6,6,0.039914,0.423637,2.055040,0.038998,2.557590
15000000,7,7,0.076661,0.392582,1.799473,0.025794,2.294512
15000000,8,8,0.040428,0.334265,1.742168,0.031529,2.148392
15000000,3872,1,0.134975,1.331232,5.403877,0.095013,6.965099
15000000,3872,2,0.085150,0.750757,2.804532,0.046725,3.687166
15000000,3872,3,0.057600,0.523626,2.129607,0.074497,2.785332
15000000,3872,4,0.087152,0.513498,1.658604,0.035818,2.295073
15000000,3872,5,0.050605,0.556239,1.344112,0.031516,1.982472
15000000,3872,6,0.049812,0.758028,1.194134,0.026074,2.028049
15000000,3872,7,0.049624,0.754676,1.111887,0.033810,1.950000
15000000,3872,8,0.048709,0.672032,1.169831,0.034891,1.925464
