size,bucket,threads,fill,distrib,sort,rewrite,all,is_sorted
5000000,5000000,1,0.047293,2.280250,0.806618,0.755693,3.918643,1
5000000,5000000,2,0.026344,1.177475,0.412922,0.382531,2.014699,1
5000000,5000000,3,0.019667,0.850977,0.286425,0.249785,1.424167,1
5000000,5000000,4,0.017675,0.669873,0.205177,0.190952,1.093145,1
5000000,5000000,5,0.014228,0.576386,0.173715,0.149002,0.921637,1
5000000,5000000,6,0.014751,0.490604,0.152396,0.131429,0.797979,1
5000000,5000000,7,0.018997,0.445059,0.126448,0.115020,0.713015,1
5000000,5000000,8,0.013341,0.444921,0.113597,0.098568,0.676968,1
5000000,1,1,0.047418,0.108594,2.914850,0.054600,3.125467,1
5000000,2,2,0.026954,0.156876,1.384116,0.033776,1.601728,1
5000000,3,3,0.018604,0.190513,0.898013,0.023721,1.130856,1
5000000,4,4,0.017413,0.161824,0.735533,0.013918,0.928716,1
5000000,5,5,0.015441,0.147838,0.565901,0.016047,0.745351,1
5000000,6,6,0.013968,0.133212,0.469491,0.014510,0.631197,1
5000000,7,7,0.011598,0.132057,0.421663,0.012781,0.578145,1
5000000,8,8,0.010075,0.124793,0.382099,0.011505,0.528561,1
5000000,2236,1,0.045510,0.195404,1.393420,0.055626,1.689980,1
5000000,2236,2,0.027677,0.147569,0.791432,0.027771,0.994460,1
5000000,2236,3,0.023878,0.146844,0.517974,0.022808,0.711516,1
5000000,2236,4,0.014632,0.121263,0.400379,0.019700,0.556037,1
5000000,2236,5,0.022404,0.160784,0.351060,0.018801,0.553069,1
5000000,2236,6,0.013192,0.108640,0.267010,0.011029,0.399927,1
5000000,2236,7,0.010956,0.110204,0.244009,0.012856,0.378047,1
5000000,2236,8,0.009802,0.124976,0.233161,0.011374,0.379403,1
10000000,10000000,1,0.097137,4.833145,1.698263,1.626675,8.320144,1
10000000,10000000,2,0.057276,2.465880,0.839048,0.788829,4.181172,1
10000000,10000000,3,0.035812,1.728155,0.551278,0.503283,2.844145,1
10000000,10000000,4,0.033534,1.348461,0.430817,0.406232,2.240491,1
10000000,10000000,5,0.029623,1.161318,0.354483,0.325747,1.889384,1
10000000,10000000,6,0.025651,0.979209,0.300812,0.275573,1.597618,1
10000000,10000000,7,0.051098,0.925697,0.254624,0.236557,1.482523,1
10000000,10000000,8,0.050533,0.895367,0.245605,0.214032,1.417793,1
10000000,1,1,0.100307,0.246761,5.555163,0.106621,6.008858,1
10000000,2,2,0.054738,0.328166,2.886563,0.054714,3.324187,1
10000000,3,3,0.034861,0.370177,1.995446,0.039327,2.439844,1
10000000,4,4,0.033294,0.329303,1.510907,0.040504,1.914285,1
10000000,5,5,0.029533,0.286962,1.247610,0.032995,1.597117,1
10000000,6,6,0.033975,0.284471,1.044263,0.029140,1.391889,1
10000000,7,7,0.021716,0.259859,0.931339,0.026248,1.239184,1
10000000,8,8,0.021259,0.260367,0.765704,0.022892,1.070263,1
10000000,3162,1,0.091301,0.437608,2.976855,0.111670,3.617457,1
10000000,3162,2,0.063336,0.287533,1.526525,0.058095,1.935510,1
10000000,3162,3,0.044735,0.282651,1.141466,0.040825,1.509708,1
10000000,3162,4,0.037198,0.245180,0.829440,0.042487,1.154330,1
10000000,3162,5,0.038031,0.238281,0.698147,0.032209,1.006702,1
10000000,3162,6,0.023109,0.223064,0.604931,0.028900,0.880161,1
10000000,3162,7,0.020371,0.209209,0.525935,0.022971,0.778579,1
10000000,3162,8,0.034498,0.279946,0.462937,0.022874,0.800342,1
15000000,15000000,1,0.151770,7.186739,2.456735,2.470430,12.358629,1
15000000,15000000,2,0.075089,3.855239,1.334469,1.272836,6.605503,1
15000000,15000000,3,0.070237,2.732422,0.873006,0.852724,4.567173,1
15000000,15000000,4,0.049998,2.023333,0.676796,0.638993,3.423100,1
15000000,15000000,5,0.043919,1.684951,0.512782,0.493800,2.763766,1
15000000,15000000,6,0.040498,1.464816,0.448745,0.438973,2.415797,1
15000000,15000000,7,0.064881,1.374842,0.389322,0.356414,2.205528,1
15000000,15000000,8,0.044793,1.357409,0.335152,0.308807,2.063803,1
15000000,1,1,0.136668,0.327037,8.637451,0.189962,9.291126,1
15000000,2,2,0.078710,0.484148,4.406409,0.082709,5.051982,1
15000000,3,3,0.050616,0.574300,3.106771,0.056407,3.788130,1
15000000,4,4,0.049213,0.501905,2.136672,0.049664,2.737467,1
15000000,5,5,0.037633,0.375961,1.338790,0.030341,1.782775,1
15000000,6,6,0.023211,0.262088,0.976780,0.034329,1.296421,1
15000000,7,7,0.028233,0.250515,0.865291,0.023765,1.167847,1
15000000,8,8,0.020132,0.223110,0.736232,0.021251,1.000730,1
15000000,3872,1,0.083300,0.404498,2.771003,0.106225,3.365054,1
15000000,3872,2,0.149068,0.432128,1.657419,0.105286,2.343919,1
15000000,3872,3,0.064621,0.439528,1.629560,0.068675,2.202408,1
15000000,3872,4,0.052329,0.408150,1.429473,0.042380,1.932354,1
15000000,3872,5,0.024966,0.198420,0.981923,0.049258,1.254599,1
15000000,3872,6,0.042771,0.349371,0.909403,0.040674,1.342248,1
15000000,3872,7,0.037759,0.330768,0.934856,0.031460,1.334870,1
15000000,3872,8,0.025449,0.315080,0.720518,0.033825,1.095035,1
