size,bucket,threads,fill,distrib,sort,rewrite,all,is_sorted
5000000,5000000,1,0.049022,4.989558,0.545803,0.138220,5.722604,1
5000000,5000000,2,0.025554,2.633659,0.252479,0.084126,2.995820,1
5000000,5000000,3,0.019506,1.857466,0.182095,0.063036,2.122106,1
5000000,5000000,4,0.019499,1.455920,0.142284,0.055343,1.673049,1
5000000,5000000,5,0.019662,1.410003,0.125424,0.068956,1.624048,1
5000000,5000000,6,0.015028,1.399508,0.113514,0.053431,1.581484,1
5000000,5000000,7,0.021775,1.080683,0.097117,0.048943,1.248520,1
5000000,5000000,8,0.032546,1.099978,0.088502,0.047208,1.268237,1
5000000,1,1,0.048259,0.248553,3.026106,0.031512,3.354432,1
5000000,2,2,0.033728,0.270933,1.469774,0.011946,1.786383,1
5000000,3,3,0.022237,0.191833,0.975351,0.011730,1.201155,1
5000000,4,4,0.017564,0.142364,0.761078,0.009688,0.930696,1
5000000,5,5,0.013756,0.140394,0.627137,0.008795,0.790084,1
5000000,6,6,0.013816,0.125461,0.512709,0.007316,0.659305,1
5000000,7,7,0.011756,0.098506,0.424006,0.006357,0.540627,1
5000000,8,8,0.009750,0.080026,0.373252,0.005469,0.468499,1
5000000,2236,1,0.044904,0.339173,1.564257,0.024436,1.972774,1
5000000,2236,2,0.043411,0.258850,0.816022,0.014697,1.132984,1
5000000,2236,3,0.018851,0.178793,0.521766,0.010188,0.729600,1
5000000,2236,4,0.017471,0.142689,0.427204,0.007169,0.594537,1
5000000,2236,5,0.014445,0.149053,0.351913,0.008846,0.524261,1
5000000,2236,6,0.012059,0.155186,0.299792,0.007688,0.474728,1
5000000,2236,7,0.010865,0.215995,0.271549,0.007021,0.505432,1
5000000,2236,8,0.010327,0.246599,0.231150,0.005524,0.493603,1
10000000,10000000,1,0.096837,10.624875,0.996956,0.272527,11.991198,1
10000000,10000000,2,0.049071,6.023958,0.503643,0.172443,6.749117,1
10000000,10000000,3,0.055576,4.263883,0.369469,0.148422,4.837352,1
10000000,10000000,4,0.042610,3.342162,0.323460,0.133297,3.841532,1
10000000,10000000,5,0.030279,2.793130,0.387294,0.144176,3.354883,1
10000000,10000000,6,0.021813,2.537224,0.168928,0.104924,2.832892,1
10000000,10000000,7,0.041475,2.241187,0.188124,0.095641,2.566429,1
10000000,10000000,8,0.040883,4.413595,0.183592,0.090916,4.728989,1
10000000,1,1,0.101159,0.504527,6.009009,0.048329,6.663027,1
10000000,2,2,0.051920,0.498213,3.031069,0.032269,3.613473,1
10000000,3,3,0.043589,0.372654,2.112165,0.020401,2.548811,1
10000000,4,4,0.035294,0.251022,1.510938,0.021837,1.819093,1
10000000,5,5,0.028981,0.318445,1.297616,0.013737,1.658782,1
10000000,6,6,0.025255,0.253330,1.025766,0.013635,1.317988,1
10000000,7,7,0.024218,0.179923,0.950931,0.011808,1.166882,1
10000000,8,8,0.015505,0.197915,0.786733,0.010997,1.011153,1
10000000,3162,1,0.097915,0.782412,3.146005,0.062914,4.089248,1
10000000,3162,2,0.058732,0.412221,1.637025,0.028064,2.136043,1
10000000,3162,3,0.040883,0.310680,1.096462,0.017067,1.465095,1
10000000,3162,4,0.032415,0.259259,0.866366,0.018741,1.176783,1
10000000,3162,5,0.029902,0.266161,0.725228,0.016786,1.038079,1
10000000,3162,6,0.028505,0.319457,0.616555,0.015378,0.979897,1
10000000,3162,7,0.020865,0.294627,0.525376,0.012881,0.853752,1
10000000,3162,8,0.019401,0.343962,0.467748,0.011265,0.842378,1
15000000,15000000,1,0.155710,17.386937,1.467505,0.392862,19.403017,1
15000000,15000000,2,0.077889,9.046938,0.804577,0.253328,10.182734,1
15000000,15000000,3,0.062045,7.227513,0.560682,0.205948,8.056190,1
15000000,15000000,4,0.058272,5.320728,0.453395,0.212983,6.045381,1
15000000,15000000,5,0.023679,3.438128,0.239395,0.116060,3.817264,1
15000000,15000000,6,0.044019,4.355690,0.293876,0.162272,4.855860,1
15000000,15000000,7,0.046024,3.803164,0.273462,0.146954,4.269606,1
15000000,15000000,8,0.043370,3.583678,0.224343,0.137454,3.988848,1
15000000,1,1,0.137225,0.734869,9.417735,0.088007,10.377839,1
15000000,2,2,0.083914,0.736914,4.815396,0.053064,5.689290,1
15000000,3,3,0.067593,0.550248,3.120219,0.026408,3.764470,1
15000000,4,4,0.054644,0.384223,2.307064,0.029316,2.775250,1
15000000,5,5,0.042480,0.391155,1.912406,0.024471,2.370514,1
15000000,6,6,0.042729,0.399479,1.551187,0.019237,2.012635,1
15000000,7,7,0.029327,0.254020,1.341537,0.017992,1.642879,1
15000000,8,8,0.027219,0.220641,1.231039,0.016799,1.495701,1
15000000,3872,1,0.133585,1.127401,4.683094,0.073617,6.017700,1
15000000,3872,2,0.074318,0.593402,2.435678,0.036773,3.140174,1
15000000,3872,3,0.059490,0.440944,1.698794,0.039017,2.238247,1
15000000,3872,4,0.046950,0.387783,1.336750,0.020247,1.791732,1
15000000,3872,5,0.051222,0.397405,1.149045,0.020675,1.618349,1
15000000,3872,6,0.036577,0.520850,0.881489,0.023336,1.462255,1
15000000,3872,7,0.031032,0.482037,0.792568,0.018328,1.324039,1
15000000,3872,8,0.031109,0.451438,0.711749,0.015903,1.210200,1
